node, X coordinate (m), Y coordinate (m), Z coordinate (m), X stress (MPa), Y stress (MPa), Z stress (MPa), XY stress (MPa), XZ stress (MPa), YZ stress (MPa)
0000000001,   0.00000000 ,   0.00000000 ,  -1000.00000 ,  0.100056618 ,  0.100056618 ,   23.2750000 , -0.108710355E-05 , -0.131113996E-03 , -0.131113996E-03
0000000002,   1.00000000 ,   0.00000000 ,  -1000.00000 ,  0.100056618 ,  0.100056618 ,   23.2750000 , -0.108710355E-05 , -0.131113996E-03 , -0.131113996E-03
0000000003,   0.00000000 ,   1.00000000 ,  -1000.00000 ,  0.100056618 ,  0.100056618 ,   23.2750000 , -0.108710355E-05 , -0.131113996E-03 , -0.131113996E-03
0000000004,   1.00000000 ,   1.00000000 ,  -1000.00000 ,  0.100056618 ,  0.100056618 ,   23.2750000 , -0.108710355E-05 , -0.131113996E-03 , -0.131113996E-03
0000000005,   0.00000000 ,   0.00000000 ,  -900.000000 ,  0.387642109E-01 ,  0.387642109E-01 ,   22.0500000 , -0.652865639E-06 , -0.987639999E-04 , -0.987639998E-04
0000000006,   1.00000000 ,   0.00000000 ,  -900.000000 ,  0.387642109E-01 ,  0.387642109E-01 ,   22.0500000 , -0.652865639E-06 , -0.987639999E-04 , -0.987639998E-04
0000000007,   0.00000000 ,   1.00000000 ,  -900.000000 ,  0.387642109E-01 ,  0.387642109E-01 ,   22.0500000 , -0.652865639E-06 , -0.987639999E-04 , -0.987639998E-04
0000000008,   1.00000000 ,   1.00000000 ,  -900.000000 ,  0.387642109E-01 ,  0.387642109E-01 ,   22.0500000 , -0.652865639E-06 , -0.987639999E-04 , -0.987639998E-04
0000000009,   0.00000000 ,   0.00000000 ,  -800.000000 , -0.872679466E-02 , -0.872679466E-02 ,   19.6000000 , -0.617756866E-07 , -0.129568052E-04 , -0.129568051E-04
0000000010,   1.00000000 ,   0.00000000 ,  -800.000000 , -0.872679466E-02 , -0.872679466E-02 ,   19.6000000 , -0.617756866E-07 , -0.129568052E-04 , -0.129568051E-04
0000000011,   0.00000000 ,   1.00000000 ,  -800.000000 , -0.872679466E-02 , -0.872679466E-02 ,   19.6000000 , -0.617756866E-07 , -0.129568052E-04 , -0.129568051E-04
0000000012,   1.00000000 ,   1.00000000 ,  -800.000000 , -0.872679466E-02 , -0.872679466E-02 ,   19.6000000 , -0.617756866E-07 , -0.129568052E-04 , -0.129568051E-04
0000000013,   0.00000000 ,   0.00000000 ,  -700.000000 ,  0.195994565E-02 ,  0.195994565E-02 ,   17.1500000 ,  0.424892727E-07 ,  0.125276996E-04 ,  0.125276997E-04
0000000014,   1.00000000 ,   0.00000000 ,  -700.000000 ,  0.195994565E-02 ,  0.195994565E-02 ,   17.1500000 ,  0.424892727E-07 ,  0.125276996E-04 ,  0.125276997E-04
0000000015,   0.00000000 ,   1.00000000 ,  -700.000000 ,  0.195994565E-02 ,  0.195994565E-02 ,   17.1500000 ,  0.424892727E-07 ,  0.125276996E-04 ,  0.125276997E-04
0000000016,   1.00000000 ,   1.00000000 ,  -700.000000 ,  0.195994565E-02 ,  0.195994565E-02 ,   17.1500000 ,  0.424892727E-07 ,  0.125276996E-04 ,  0.125276997E-04
0000000017,   0.00000000 ,   0.00000000 ,  -600.000000 , -0.419952062E-03 , -0.419952062E-03 ,   14.7000000 , -0.114436541E-07 , -0.600289442E-05 , -0.600289443E-05
0000000018,   1.00000000 ,   0.00000000 ,  -600.000000 , -0.419952062E-03 , -0.419952062E-03 ,   14.7000000 , -0.114436541E-07 , -0.600289442E-05 , -0.600289443E-05
0000000019,   0.00000000 ,   1.00000000 ,  -600.000000 , -0.419952062E-03 , -0.419952062E-03 ,   14.7000000 , -0.114436541E-07 , -0.600289442E-05 , -0.600289443E-05
0000000020,   1.00000000 ,   1.00000000 ,  -600.000000 , -0.419952062E-03 , -0.419952062E-03 ,   14.7000000 , -0.114436541E-07 , -0.600289442E-05 , -0.600289443E-05
0000000021,   0.00000000 ,   0.00000000 ,  -500.000000 ,  0.171353447E-07 ,  0.171353382E-07 ,   12.2500000 ,  0.325825126E-08 ,  0.413740384E-05 ,  0.413740336E-05
0000000022,   1.00000000 ,   0.00000000 ,  -500.000000 ,  0.171353447E-07 ,  0.171353382E-07 ,   12.2500000 ,  0.325825126E-08 ,  0.413740384E-05 ,  0.413740336E-05
0000000023,   0.00000000 ,   1.00000000 ,  -500.000000 ,  0.171353447E-07 ,  0.171353382E-07 ,   12.2500000 ,  0.325825126E-08 ,  0.413740384E-05 ,  0.413740336E-05
0000000024,   1.00000000 ,   1.00000000 ,  -500.000000 ,  0.171353447E-07 ,  0.171353382E-07 ,   12.2500000 ,  0.325825126E-08 ,  0.413740384E-05 ,  0.413740336E-05
0000000025,   0.00000000 ,   0.00000000 ,  -400.000000 ,  0.419895403E-03 ,  0.419895403E-03 ,   9.80000000 ,  0.260391395E-08 , -0.740045603E-05 , -0.740045689E-05
0000000026,   1.00000000 ,   0.00000000 ,  -400.000000 ,  0.419895403E-03 ,  0.419895403E-03 ,   9.80000000 ,  0.260391395E-08 , -0.740045603E-05 , -0.740045689E-05
0000000027,   0.00000000 ,   1.00000000 ,  -400.000000 ,  0.419895403E-03 ,  0.419895403E-03 ,   9.80000000 ,  0.260391395E-08 , -0.740045603E-05 , -0.740045689E-05
0000000028,   1.00000000 ,   1.00000000 ,  -400.000000 ,  0.419895403E-03 ,  0.419895403E-03 ,   9.80000000 ,  0.260391395E-08 , -0.740045603E-05 , -0.740045689E-05
0000000029,   0.00000000 ,   0.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000030,   1.00000000 ,   0.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000031,   0.00000000 ,   1.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000032,   1.00000000 ,   1.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000033,   0.00000000 ,   0.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000034,   1.00000000 ,   0.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000035,   0.00000000 ,   1.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000036,   1.00000000 ,   1.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000037,   0.00000000 ,   0.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000038,   1.00000000 ,   0.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000039,   0.00000000 ,   1.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000040,   1.00000000 ,   1.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000041,   0.00000000 ,   0.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
0000000042,   1.00000000 ,   0.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
0000000043,   0.00000000 ,   1.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
0000000044,   1.00000000 ,   1.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
